metrics,rel,d-value
line_coverage,-,0.81 (large)
LOC_prod,+,0.27 (small)
HALSTEAD_prod,+,0.25 (small)
RFC_prod,+,0.37 (medium)
CBO_prod,+,0.35 (medium)
MPC_prod,+,0.39 (medium)
DAC_prod,+,0.17 (small)
DAC2_prod,+,0.21 (small)
LCOM1_prod,+,0.28 (small)
LCOM2_prod,+,0.28 (small)
LCOM3_prod,+,0.27 (small)
LCOM4_prod,+,0.26 (small)
COH_prod,-,0.19 (small)
LCC_prod,+,0.27 (small)
WMC_prod,+,0.27 (small)
NOA_prod,+,0.17 (small)
McCABE_prod,+,0.28 (small)
LOC_test,-,0.21 (small)
HALSTEAD_test,-,0.19 (small)
RFC_test,-,0.19 (small)
MPC_test,-,0.17 (small)
LCOM1_test,-,0.26 (small)
LCOM2_test,-,0.23 (small)
LCOM4_test,-,0.21 (small)
CONNECTIVITY_test,-,0.16 (small)
LCC_test,-,0.19 (small)
WMC_test,-,0.27 (small)
McCABE_test,-,0.3 (small)
csm_Blob,+,0.21 (small)
csm_SC,+,0.22 (small)
csm_MC,+,0.26 (small)
csm_LM,+,0.15 (small)
csm_FE,+,0.39 (medium)
