metrics,rel,d-value
LOC_prod,+,0.34 (medium)
HALSTEAD_prod,+,0.32 (small)
RFC_prod,+,0.36 (medium)
CBO_prod,+,0.38 (medium)
MPC_prod,+,0.4 (medium)
DAC_prod,+,0.42 (medium)
DAC2_prod,+,0.52 (large)
LCOM1_prod,+,0.25 (small)
LCOM2_prod,+,0.24 (small)
LCOM3_prod,+,0.26 (small)
LCOM4_prod,+,0.23 (small)
LCC_prod,+,0.25 (small)
WMC_prod,+,0.27 (small)
NOA_prod,+,0.42 (medium)
McCABE_prod,+,0.27 (small)
CBO_test,+,0.28 (small)
DAC_test,-,0.21 (small)
DAC2_test,-,0.2 (small)
LCOM3_test,-,0.22 (small)
LCOM4_test,-,0.22 (small)
COH_test,-,0.19 (small)
NOA_test,-,0.21 (small)
csm_Blob,+,0.23 (small)
csm_SC,+,0.21 (small)
csm_MC,+,0.32 (small)
csm_LM,+,0.19 (small)
csm_FE,+,0.33 (small)
