metrics,rel,d-value
line_coverage,-,0.87 (large)
isAssertionRoulette,+,0.19 (small)
isEagerTest,+,0.17 (small)
LOC_prod,+,0.41 (medium)
HALSTEAD_prod,+,0.38 (medium)
RFC_prod,+,0.49 (large)
CBO_prod,+,0.41 (medium)
MPC_prod,+,0.49 (large)
DAC_prod,+,0.26 (small)
DAC2_prod,+,0.3 (small)
LCOM1_prod,+,0.4 (medium)
LCOM2_prod,+,0.31 (small)
LCOM3_prod,+,0.35 (medium)
LCOM4_prod,+,0.37 (medium)
LCOM5_prod,+,0.19 (small)
COH_prod,-,0.23 (small)
TCC_prod,+,0.28 (small)
LCC_prod,+,0.34 (medium)
WMC_prod,+,0.42 (medium)
NOA_prod,+,0.27 (small)
NOP_prod,+,0.26 (small)
McCABE_prod,+,0.44 (medium)
LOC_test,-,0.16 (small)
RFC_test,-,0.2 (small)
MPC_test,-,0.17 (small)
LCOM1_test,-,0.28 (small)
LCOM2_test,-,0.26 (small)
LCOM4_test,-,0.17 (small)
LCC_test,-,0.2 (small)
WMC_test,-,0.31 (small)
McCABE_test,-,0.3 (small)
csm_Blob,+,0.17 (small)
csm_MC,+,0.34 (medium)
csm_FE,+,0.36 (medium)
