project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
cat,com.dianping.cat.build.ReportServiceComponentConfigurator,false,false,false,false,false,true,false,false,104,0,0,1.0,0,0.0,34,3,2,4,1
cat,com.dianping.cat.build.CatDatabaseConfigurator,false,false,false,false,false,false,false,false,21,0,0,1.0,0,0.0,4,4,2,5,1
cat,com.dianping.cat.build.ServiceComponentConfigurator,false,false,false,false,false,true,false,false,194,0,0,1.0,0,0.0,74,3,2,4,1
cat,com.dianping.cat.build.TaskComponentConfigurator,false,false,false,false,false,true,false,false,247,0,0,1.0,0,0.0,106,3,3,4,1
cat,com.dianping.cat.build.WebComponentConfigurator,false,false,false,false,false,false,false,false,22,0,0,1.0,0,0.0,6,1,2,2,1
cat,com.dianping.cat.build.AlarmComponentConfigurator,false,false,false,false,false,true,false,false,284,0,0,1.0,0,0.0,123,3,2,4,1
cat,com.dianping.cat.build.ComponentsConfigurator,false,false,false,false,false,true,false,true,235,0,0,-0.16666666666666666,0,0.0,88,22,9,27,5
cat,com.dianping.cat.build.CatDatabaseConfigurator,false,false,false,false,false,false,false,false,24,0,0,1.0,0,0.0,4,4,2,5,1
cat,com.dianping.cat.build.StorageComponentConfigurator,false,false,false,false,false,true,false,false,37,0,0,1.0,0,0.0,14,4,2,5,1
cat,com.dianping.cat.build.CatCoreDatabaseConfigurator,false,false,false,false,false,false,false,false,22,0,0,1.0,0,0.0,4,4,2,5,1
cat,com.dianping.cat.build.CodecComponentConfigurator,false,false,false,false,false,false,false,false,29,0,0,1.0,0,0.0,9,3,2,4,1
cat,com.dianping.cat.build.ComponentsConfigurator,false,false,false,false,false,true,false,false,109,0,0,-2.0,0,0.0,42,7,3,9,2
cat,com.dianping.cat.build.AppDatabaseConfigurator,false,false,false,false,false,false,false,false,21,0,0,1.0,0,0.0,4,4,2,5,1
cat,com.dianping.cat.build.CodecComponentConfigurator,false,false,false,false,false,false,false,false,26,0,0,1.0,0,0.0,8,3,2,4,1
cat,com.dianping.cat.build.ComponentsConfigurator,false,false,false,false,false,true,false,false,61,0,0,-2.0,0,0.0,21,6,3,8,2
cat,com.dianping.cat.servlet.CatServlet,false,false,false,false,false,true,false,false,70,2,0,0.0,0,0.3333333333333333,12,14,11,17,3
cat,com.dianping.cat.servlet.CatFilter,false,false,false,false,false,true,false,true,276,7,0,0.0,0,0.5925925925925926,17,73,49,88,15
cat,com.dianping.cat.servlet.MonitorResponse,false,false,false,false,false,false,false,false,59,1,1,0.5,1,0.0,3,0,9,6,6
cat,com.dianping.cat.servlet.CatFilter,false,false,false,false,false,true,false,false,353,5,1,0.041666666666666664,1,0.85,20,73,49,90,17
cat,com.dianping.cat.servlet.CatFilter,false,false,false,false,false,true,false,false,349,5,1,0.047619047619047616,1,0.8421052631578947,20,72,47,88,16
cat,com.dianping.cat.servlet.CatFilterTest,false,false,false,false,false,true,false,true,148,0,0,-0.2857142857142857,5,0.5,23,36,20,44,8
cat,com.dianping.cat.servlet.CatFilter,false,false,false,false,false,true,false,false,5132,0,0,-0.14285714285714285,0,0.0,20,0,22,16,16
cat,com.dianping.cat.system.SystemContext,false,false,false,false,false,true,false,true,65,1,0,-1.0,0,0.5,16,14,5,17,3
cat,com.dianping.cat.system.SystemModule,false,false,false,false,false,false,false,false,20,0,0,1.0,0,0.0,3,0,0,0,0
cat,com.dianping.cat.system.page.plugin.Handler,false,false,false,false,false,true,false,true,126,4,0,-0.16666666666666666,0,0.5,16,37,14,42,5
