project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
commons-beanutils,org.apache.commons.beanutils.ConvertUtilsBean2,false,false,false,false,false,false,false,false,78,0,1,1.0,1,0.5,0,3,8,6,3
commons-beanutils,org.apache.commons.beanutils.BasicDynaClass,false,false,false,false,false,false,false,false,303,1,1,0.3333333333333333,1,2.0,4,14,32,24,10
commons-beanutils,org.apache.commons.beanutils.DynaBean,false,false,false,false,false,false,false,false,172,0,0,-0.2857142857142857,0,0.0,0,0,38,9,9
commons-beanutils,org.apache.commons.beanutils.DefaultIntrospectionContext,false,false,false,false,false,false,false,false,108,3,2,0.5357142857142857,2,1.0,4,9,20,18,9
commons-beanutils,org.apache.commons.beanutils.DynaClass,false,false,false,false,false,false,false,false,86,0,0,-1.0,0,0.0,0,0,16,4,4
commons-beanutils,org.apache.commons.beanutils.BeanIntrospectionData,false,false,false,false,false,false,false,false,151,4,0,0.0,0,0.8,5,13,20,19,6
commons-beanutils,org.apache.commons.beanutils.WrapDynaBean,false,false,false,false,false,false,false,false,409,8,3,0.5384615384615384,3,10.0,2,25,62,39,14
commons-beanutils,org.apache.commons.beanutils.BeanUtilsBean2,false,false,false,false,false,false,false,false,76,0,0,-2.0,0,0.5,0,2,4,4,2
commons-beanutils,org.apache.commons.beanutils.LazyDynaBean,false,false,false,true,true,true,false,true,944,2,3,0.15384615384615385,3,0.6,11,118,117,146,28
commons-beanutils,org.apache.commons.beanutils.DynaBeanPropertyMapDecorator,false,false,false,false,false,false,false,false,93,0,0,-2.0,0,0.0,0,0,10,3,3
commons-beanutils,org.apache.commons.beanutils.ResultSetDynaClass,false,false,false,false,false,false,false,false,249,3,1,0.06666666666666667,1,2.0,3,7,32,14,7
commons-beanutils,org.apache.commons.beanutils.ConstructorUtils,false,false,false,false,false,false,false,false,444,8,1,0.1111111111111111,1,0.55,3,26,45,37,11
commons-beanutils,org.apache.commons.beanutils.BeanAccessLanguageException,false,false,false,false,false,false,false,false,48,0,0,-2.0,0,0.0,0,0,2,2,2
commons-beanutils,org.apache.commons.beanutils.NestedNullException,false,false,false,false,false,false,false,false,47,0,0,-2.0,0,0.0,0,0,2,2,2
commons-beanutils,org.apache.commons.beanutils.BaseDynaBeanMapDecorator,false,false,false,false,false,false,false,false,381,8,1,0.08496732026143791,4,2.3076923076923075,7,48,64,67,19
commons-beanutils,org.apache.commons.beanutils.SuppressPropertiesBeanIntrospector,false,false,false,false,false,false,false,false,91,2,0,0.0,0,0.0,5,3,9,6,3
commons-beanutils,org.apache.commons.beanutils.LazyDynaMap,false,false,false,false,false,false,false,false,486,9,3,0.22924901185770752,3,3.0,1,34,69,58,24
commons-beanutils,org.apache.commons.beanutils.IntrospectionContext,false,false,false,false,false,false,false,false,99,0,0,-0.4,0,0.0,2,0,17,7,7
commons-beanutils,org.apache.commons.beanutils.BeanComparator,false,false,false,false,false,false,false,false,240,5,2,0.4444444444444444,2,1.0,4,9,29,19,10
commons-beanutils,org.apache.commons.beanutils.BeanUtilsBean,false,false,false,true,true,true,true,true,1141,6,2,0.14461538461538462,7,0.7692307692307693,13,147,124,174,27
commons-beanutils,org.apache.commons.beanutils.WeakFastHashMap,false,false,false,true,true,false,false,false,760,10,7,0.5366666666666666,7,1.35,7,29,83,55,26
commons-beanutils,org.apache.commons.beanutils.LazyDynaClass,false,false,false,false,false,false,false,false,358,14,0,-0.05714285714285714,0,3.0,0,18,54,34,16
commons-beanutils,org.apache.commons.beanutils.Converter,false,false,false,false,false,false,false,false,57,0,0,1.0,0,0.0,0,0,5,1,1
commons-beanutils,org.apache.commons.beanutils.PropertyUtils,false,false,false,true,true,false,false,false,932,6,0,-0.05040322580645161,14,0.484375,5,62,135,95,33
commons-beanutils,org.apache.commons.beanutils.ConvertingWrapDynaBean,false,false,false,false,false,false,false,false,82,0,0,-2.0,0,0.0,1,3,7,5,2
commons-beanutils,org.apache.commons.beanutils.BeanMap,false,false,false,true,true,true,false,true,920,9,3,0.10508474576271186,5,1.8888888888888888,18,129,190,190,61
commons-beanutils,org.apache.commons.beanutils.MutableDynaClass,false,false,false,false,false,false,false,false,121,0,0,-0.5,0,0.0,0,0,19,6,6
commons-beanutils,org.apache.commons.beanutils.DynaProperty,false,false,false,false,false,false,false,false,371,1,4,0.5824175824175825,4,2.0,7,26,50,41,15
commons-beanutils,org.apache.commons.beanutils.FluentPropertyBeanIntrospector,false,false,false,false,false,false,false,true,180,2,0,0.1,0,1.25,7,20,22,26,6
commons-beanutils,org.apache.commons.beanutils.JDBCDynaClass,false,false,false,false,false,false,false,false,308,2,0,0.0,0,1.0,10,36,47,46,10
commons-beanutils,org.apache.commons.beanutils.DynaBeanMapDecorator,false,false,false,false,false,false,false,false,101,0,0,-2.0,0,0.0,0,0,10,3,3
commons-beanutils,org.apache.commons.beanutils.PropertyUtilsBean,false,true,false,true,true,true,true,true,2285,7,4,0.20155038759689922,11,0.4909090909090909,18,252,220,296,44
commons-beanutils,org.apache.commons.beanutils.BeanIntrospector,false,false,false,false,false,false,false,false,53,0,0,1.0,0,0.0,1,0,4,1,1
commons-beanutils,org.apache.commons.beanutils.ConvertUtilsBean,false,false,false,true,true,true,false,true,898,2,1,0.058712121212121215,2,0.5396825396825397,31,78,109,112,34
commons-beanutils,org.apache.commons.beanutils.ConvertUtils,false,false,false,false,false,false,false,false,394,0,0,-0.056666666666666664,11,1.0416666666666667,0,51,73,77,26
commons-beanutils,org.apache.commons.beanutils.BasicDynaBean,false,false,false,false,false,false,false,false,444,5,2,0.3181818181818182,2,0.5833333333333334,5,29,63,42,13
commons-beanutils,org.apache.commons.beanutils.LazyDynaList,false,false,false,true,false,false,false,true,717,5,1,0.11578947368421053,3,1.0,4,71,79,92,21
commons-beanutils,org.apache.commons.beanutils.ResultSetIterator,false,false,false,false,false,false,false,false,355,5,0,0.0,0,0.0,3,9,60,23,14
commons-beanutils,org.apache.commons.beanutils.MethodUtils,false,false,false,true,true,false,false,true,1371,7,1,0.08045977011494253,3,0.4625,10,103,138,134,31
commons-beanutils,org.apache.commons.beanutils.BeanUtils,false,false,false,false,false,false,false,false,505,18,0,-0.0935672514619883,5,0.4411764705882353,2,32,84,52,20
commons-beanutils,org.apache.commons.beanutils.ContextClassLoaderLocal,false,false,false,false,false,false,false,false,217,2,0,0.0,1,3.0,2,15,19,21,6
commons-beanutils,org.apache.commons.beanutils.DefaultBeanIntrospector,false,false,false,false,false,false,false,true,181,0,0,-1.0,0,0.5,9,21,13,24,3
commons-beanutils,org.apache.commons.beanutils.MappedPropertyDescriptor,false,false,false,false,false,false,false,false,530,3,2,0.2878787878787879,2,0.9230769230769231,7,41,52,54,13
commons-beanutils,org.apache.commons.beanutils.BeanPropertyValueEqualsPredicate,false,false,false,false,false,false,false,false,290,1,1,0.4,1,0.5,4,7,27,14,7
commons-beanutils,org.apache.commons.beanutils.WrapDynaClass,false,false,false,false,false,false,false,true,540,3,0,0.05291005291005291,3,2.272727272727273,10,61,77,90,29
commons-beanutils,org.apache.commons.beanutils.ConversionException,false,false,false,false,false,false,false,false,94,1,0,0.0,0,0.0,0,1,8,5,4
commons-beanutils,org.apache.commons.beanutils.BeanToPropertyValueTransformer,false,false,false,false,false,false,false,false,218,1,1,0.6666666666666666,1,0.0,4,5,23,10,5
