project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
commons-io,org.apache.commons.io.ByteOrderParser,false,false,false,false,false,false,false,false,66,0,0,-2.0,0,0.0,1,2,5,4,2
commons-io,org.apache.commons.io.HexDump,false,false,false,false,false,false,false,false,162,1,0,0.0,0,0.5,3,10,15,14,4
commons-io,org.apache.commons.io.FileUtils,true,true,false,true,true,true,false,true,3109,7,1,0.004715590922487474,7,0.43902439024390244,34,328,533,446,118
commons-io,org.apache.commons.io.FileCleaner,false,false,false,false,false,false,false,false,159,0,3,1.0,3,0.5,1,6,22,13,7
commons-io,org.apache.commons.io.FileExistsException,false,false,false,false,false,false,false,false,59,3,0,-2.0,0,0.0,2,0,5,3,3
commons-io,org.apache.commons.io.TaggedIOException,false,false,false,false,false,false,false,false,136,3,1,0.5,1,1.0,2,4,19,9,5
commons-io,org.apache.commons.io.IOExceptionWithCause,false,false,false,false,false,false,false,false,66,2,0,-2.0,0,0.0,1,0,5,2,2
commons-io,org.apache.commons.io.ThreadMonitor,false,false,false,false,false,false,false,false,134,2,1,0.5,1,0.6666666666666666,0,10,18,16,6
commons-io,org.apache.commons.io.EndianUtils,false,false,false,false,false,false,false,false,481,0,0,-0.03218390804597701,1,0.8181818181818182,5,33,102,64,31
commons-io,org.apache.commons.io.FilenameUtils,false,false,false,true,true,false,false,false,1453,6,3,0.13765182186234817,4,0.5684210526315789,5,102,179,142,40
commons-io,org.apache.commons.io.ByteOrderMark,false,false,false,false,false,false,false,false,191,0,2,0.7619047619047619,2,4.0,1,12,24,20,8
commons-io,org.apache.commons.io.DirectoryWalker,false,false,false,false,false,false,false,false,642,13,0,0.0,0,0.3611111111111111,7,18,57,34,16
commons-io,org.apache.commons.io.CopyUtils,false,false,false,false,false,false,false,false,391,11,4,0.6515151515151515,5,0.5,10,21,51,34,13
commons-io,org.apache.commons.io.FileDeleteStrategy,false,false,false,false,false,false,false,false,156,2,0,-0.16666666666666666,0,1.0,2,5,17,10,5
commons-io,org.apache.commons.io.FileCleaningTracker,false,false,false,false,false,false,false,false,287,1,0,0.047619047619047616,0,0.3333333333333333,8,9,23,17,8
commons-io,org.apache.commons.io.Charsets,false,false,false,false,false,false,false,false,192,0,0,-2.0,0,0.0,5,6,12,9,3
commons-io,org.apache.commons.io.FileSystemUtils,false,false,false,false,false,true,false,true,576,1,1,0.030303030303030304,1,0.43333333333333335,12,52,72,65,13
commons-io,org.apache.commons.io.IOUtils,false,true,false,true,true,true,false,false,3246,12,4,0.05862403100775194,10,0.4418604651162791,32,209,593,339,130
commons-io,org.apache.commons.io.LineIterator,false,false,false,false,false,false,false,false,200,3,1,0.047619047619047616,1,6.0,6,8,31,16,8
commons-io,org.apache.commons.io.DemuxTestCase,false,false,false,false,false,true,false,false,209,0,0,0.6190476190476191,0,1.0,13,25,18,33,8
commons-io,org.apache.commons.io.ThreadMonitorTestCase,false,false,false,false,false,false,false,false,85,0,0,-2.0,4,0.0,4,13,7,16,3
commons-io,org.apache.commons.io.ByteOrderMarkTestCase,false,false,false,false,false,false,false,false,146,1,2,0.4642857142857143,2,0.0,8,20,11,29,9
commons-io,org.apache.commons.io.IOUtilsWriteTestCase,false,false,false,true,false,true,false,false,786,39,7,0.2458521870286576,54,0.0,12,281,152,334,53
commons-io,org.apache.commons.io.LineIteratorTestCase,false,false,false,false,false,true,false,true,444,25,0,0.02666666666666667,8,0.717391304347826,20,107,77,133,26
commons-io,org.apache.commons.io.FilenameUtilsTestCase,false,false,false,true,true,true,false,false,1086,6,0,-0.03753753753753754,13,0.0,16,92,58,130,38
commons-io,org.apache.commons.io.IOUtilsTestCase,false,true,false,true,true,true,false,false,1544,24,4,0.05563266250289151,25,0.7674418604651163,46,464,296,597,133
commons-io,org.apache.commons.io.FileUtilsCleanDirectoryTestCase,false,false,false,false,false,true,false,false,148,4,2,0.7333333333333333,2,0.3333333333333333,11,39,24,46,7
commons-io,org.apache.commons.io.ByteOrderParserTest,false,false,false,false,false,false,false,false,44,0,0,0.0,1,1.0,3,6,6,10,4
commons-io,org.apache.commons.io.TaggedIOExceptionTest,false,false,false,false,false,false,false,false,45,0,0,1.0,0,0.0,7,7,1,8,1
commons-io,org.apache.commons.io.FileSystemUtilsTestCase,false,false,false,false,false,true,false,true,588,0,0,-0.017241379310344827,9,0.3142857142857143,12,62,76,92,30
commons-io,org.apache.commons.io.FileUtilsFileNewerTestCase,false,false,false,false,false,true,false,false,179,1,1,0.23809523809523808,2,0.5,12,22,24,30,8
commons-io,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,false,false,false,false,false,false,false,true,271,5,4,0.9722222222222222,4,0.5,10,73,37,83,10
commons-io,org.apache.commons.io.FileDeleteStrategyTestCase,false,false,false,false,false,true,false,false,162,5,0,-0.2,5,0.0,12,32,16,38,6
commons-io,org.apache.commons.io.FileUtilsDirectoryContainsTestCase,false,false,false,false,false,false,false,false,178,1,2,0.43636363636363634,8,0.0,9,37,29,49,12
commons-io,org.apache.commons.io.FileUtilsListFilesTestCase,false,false,false,false,false,true,false,true,201,6,0,0.26666666666666666,5,2.3333333333333335,14,40,18,47,7
commons-io,org.apache.commons.io.FileCleanerTestCase,false,false,false,false,false,false,false,false,30,0,0,1.0,0,0.0,0,1,2,2,1
commons-io,org.apache.commons.io.DirectoryWalkerTestCase,false,false,false,false,false,true,false,false,573,0,4,0.3333333333333333,14,0.391304347826087,16,98,38,118,20
commons-io,org.apache.commons.io.FileUtilsTestCase,false,true,false,true,true,true,false,true,3128,13,1,0.02525386313465784,96,11.615384615384615,39,901,397,1053,152
commons-io,org.apache.commons.io.IOCaseTestCase,false,false,false,false,false,true,false,false,381,11,1,0.03676470588235294,9,1.0,11,62,51,80,18
commons-io,org.apache.commons.io.FileUtilsWaitForTestCase,false,false,false,false,false,false,false,true,63,0,0,-2.0,2,0.0,5,17,4,20,3
