project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
jsoup,org.jsoup.nodes.Entities,false,false,false,false,false,true,false,false,355,1,1,0.10457516339869281,1,0.40625,11,41,58,60,19
jsoup,org.jsoup.nodes.Comment,false,false,false,false,false,false,false,false,57,7,0,-0.3333333333333333,0,0.0,1,6,12,13,7
jsoup,org.jsoup.nodes.Document,false,false,false,false,false,false,false,true,576,5,0,0.043478260869565216,1,1.6,9,71,63,96,25
jsoup,org.jsoup.nodes.Node,false,false,false,true,false,false,false,true,725,27,2,0.09779825908858167,4,1.5294117647058822,9,150,166,214,64
jsoup,org.jsoup.nodes.EntitiesData,false,false,false,false,false,false,false,false,10,0,0,1.0,0,0.0,0,0,0,0,0
jsoup,org.jsoup.nodes.PseudoTextElement,false,false,false,false,false,false,false,false,24,0,0,-2.0,0,0.0,2,0,5,3,3
jsoup,org.jsoup.nodes.DataNode,false,false,false,false,false,false,false,false,72,0,0,-0.25,0,0.0,1,6,16,15,9
jsoup,org.jsoup.nodes.CDataNode,false,false,false,false,false,false,false,false,44,0,0,-0.6666666666666666,0,0.0,2,4,10,9,5
jsoup,org.jsoup.nodes.BooleanAttribute,false,false,false,false,false,false,false,false,20,0,0,-2.0,0,0.0,0,0,3,2,2
jsoup,org.jsoup.nodes.LeafNode,false,false,false,false,false,false,false,false,98,11,0,0.07692307692307693,1,2.75,3,22,30,36,14
jsoup,org.jsoup.nodes.Attributes,false,false,false,false,false,true,false,false,445,2,6,0.4596774193548387,6,1.0,13,51,102,84,33
jsoup,org.jsoup.nodes.XmlDeclaration,false,false,false,false,false,false,false,false,91,6,0,-0.03571428571428571,0,1.0,3,15,19,24,9
jsoup,org.jsoup.nodes.DocumentType,false,false,false,false,false,false,false,false,109,1,1,0.2857142857142857,1,1.0,4,13,18,21,8
jsoup,org.jsoup.nodes.Element,false,true,false,true,true,true,false,true,1471,17,2,0.04820683903252711,8,1.5820895522388059,26,288,338,399,111
jsoup,org.jsoup.nodes.Attribute,false,false,false,false,false,false,false,false,206,4,2,0.5730994152046783,2,0.6875,5,32,52,52,20
jsoup,org.jsoup.nodes.FormElement,false,false,false,false,false,false,false,true,113,2,0,0.2,0,0.0,8,26,19,32,6
jsoup,org.jsoup.nodes.TextNode,false,false,false,false,false,false,false,true,148,0,0,-0.10476190476190476,1,2.0,3,34,37,50,16
jsoup,org.jsoup.nodes.NodeTest,false,false,false,false,false,false,false,true,317,0,0,-0.06349206349206349,41,2.75,7,205,35,234,29
jsoup,org.jsoup.nodes.TextNodeTest,false,false,false,false,false,false,false,false,85,0,0,-0.5,7,0.0,5,47,6,53,6
jsoup,org.jsoup.nodes.FormElementTest,false,false,false,false,false,false,false,true,169,0,0,-0.25,22,0.0,5,88,21,98,10
jsoup,org.jsoup.nodes.ElementTest,false,false,false,true,true,true,false,true,1327,88,0,-0.02122347066167291,123,0.0,18,665,103,756,91
jsoup,org.jsoup.nodes.DocumentTypeTest,false,false,false,false,false,false,false,false,70,0,0,-0.26666666666666666,0,1.0,4,12,9,19,7
jsoup,org.jsoup.nodes.BuildEntities,false,false,false,false,false,true,false,true,137,2,0,-1.0,0,0.5,13,27,10,30,3
jsoup,org.jsoup.nodes.EntitiesTest,false,false,false,false,false,false,false,false,154,0,0,-0.02197802197802198,10,0.0,5,56,16,71,15
jsoup,org.jsoup.nodes.DocumentTest,false,false,false,false,false,true,false,true,463,28,0,-0.008602150537634409,27,0.5238095238095238,20,209,53,241,32
