project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
junit4,org.junit.internal.Throwables,false,false,false,false,false,false,false,false,42,0,0,-1.0,0,1.0,0,1,7,4,3
junit4,org.junit.internal.ExactComparisonCriteria,false,false,false,false,false,false,false,false,10,0,0,1.0,0,0.0,1,1,1,2,1
junit4,org.junit.internal.AssumptionViolatedException,false,false,false,false,false,false,false,false,111,1,0,-0.3333333333333333,0,0.0,4,6,10,13,7
junit4,org.junit.internal.Classes,false,false,false,false,false,false,false,false,18,0,0,1.0,0,0.0,1,3,4,4,1
junit4,org.junit.internal.RealSystem,false,false,false,false,false,false,false,false,19,0,0,-2.0,0,1.0,1,1,3,3,2
junit4,org.junit.internal.ComparisonCriteria,false,false,false,false,false,false,false,false,83,0,0,0.0,0,0.5,3,11,15,15,4
junit4,org.junit.internal.MethodSorter,false,false,false,false,false,false,false,false,72,4,0,-0.3333333333333333,0,0.75,4,12,14,17,5
junit4,org.junit.internal.JUnitSystem,false,false,false,false,false,false,false,false,14,0,0,-2.0,0,0.0,1,0,2,2,2
junit4,org.junit.internal.TextListener,false,false,false,false,false,false,false,false,101,7,1,0.14545454545454545,1,1.5,7,29,21,41,12
junit4,org.junit.internal.InexactComparisonCriteria,false,false,false,false,false,false,false,false,24,0,0,1.0,0,0.0,1,1,5,4,3
junit4,org.junit.internal.ArrayComparisonFailure,false,false,false,false,false,false,false,false,67,1,1,0.3333333333333333,1,4.0,3,8,8,12,4
junit4,org.junit.internal.MethodSorterTest,false,false,false,false,false,false,false,false,182,0,0,0.13333333333333333,4,1.0,9,23,10,30,7
junit4,org.junit.internal.TextListener,false,false,false,false,false,false,false,false,2032,0,0,-0.14285714285714285,0,0.0,7,0,16,16,16
junit4,org.junit.internal.MethodSorter,false,false,false,false,false,false,false,false,1275,0,0,-0.2222222222222222,0,0.0,4,0,11,11,11
junit4,org.junit.internal.runners.statements.RunBefores,false,false,false,false,false,false,false,false,28,0,0,0.0,0,0.0,3,2,5,4,2
junit4,org.junit.internal.runners.statements.Fail,false,false,false,false,false,false,false,false,16,0,0,0.0,0,0.0,1,0,3,2,2
junit4,org.junit.internal.runners.statements.RunAfters,false,false,false,false,false,false,false,false,41,0,0,0.0,0,0.0,5,4,5,6,2
junit4,org.junit.internal.runners.statements.ExpectException,false,false,false,false,false,false,false,false,36,0,0,0.0,0,0.0,2,4,5,6,2
junit4,org.junit.internal.runners.statements.InvokeMethod,false,false,false,false,false,false,false,false,19,0,0,0.0,0,0.0,2,1,3,3,2
junit4,org.junit.internal.runners.statements.FailOnTimeout,false,false,false,false,false,true,false,false,311,2,0,0.022222222222222223,0,0.9,12,28,40,39,11
junit4,org.junit.internal.runners.statements.FailOnTimeout,false,false,false,true,true,true,false,false,5369,0,0,-0.047619047619047616,0,0.0,12,0,44,43,43
junit4,org.junit.internal.runners.InitializationError,false,false,false,false,false,false,false,false,37,3,0,-0.6666666666666666,0,0.0,2,1,5,5,4
junit4,org.junit.internal.runners.TestClass,false,false,false,false,false,true,false,false,109,7,1,0.14545454545454545,2,1.1111111111111112,12,19,34,31,12
junit4,org.junit.internal.runners.JUnit38ClassRunner,false,false,false,false,false,true,false,true,180,6,0,0.18181818181818182,1,1.5454545454545454,19,37,30,49,12
