project,className,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,csm_LOC,csm_LCOM5,csm_TCC,csm_Connectivity,csm_LCC,csm_ICH,csm_CBO,csm_MPC,csm_McCabe,csm_RFC,csm_WMC
opengrok,org.opengrok.web.StatisticsFilter,false,false,false,false,false,true,false,true,109,3,0,-0.6666666666666666,0,0.4,15,21,10,25,4
opengrok,org.opengrok.web.AuthorizationFilter,false,false,false,false,false,true,false,true,106,2,0,-2.0,0,0.3333333333333333,16,21,10,24,3
opengrok,org.opengrok.web.WebappListener,false,false,false,false,false,true,false,true,147,2,0,-0.6666666666666666,0,0.0,19,28,10,32,4
opengrok,org.opengrok.web.ResponseHeaderFilter,false,false,false,false,false,false,false,false,54,0,1,1.0,1,0.3333333333333333,9,7,6,10,3
opengrok,org.opengrok.web.DirectoryListing,false,false,false,false,false,true,true,true,300,3,0,0.09523809523809523,0,0.5,19,50,26,58,8
opengrok,org.opengrok.web.DirectoryListingTest,false,false,false,false,false,true,false,true,365,2,1,0.07142857142857142,1,1.0,20,67,35,76,9
opengrok,org.opengrok.web.DirectoryListing,false,false,false,true,true,true,false,false,5879,0,0,-0.10294117647058823,0,0.0,19,0,25,18,18
opengrok,org.opengrok.web.api.v1.filter.LocalhostFilter,false,false,false,false,false,true,false,false,95,0,0,0.0,0,0.0,18,12,6,14,2
opengrok,org.opengrok.web.api.v1.filter.LocalhostFilterTest,false,false,false,false,false,true,false,true,122,0,0,0.09523809523809523,2,0.9,12,43,23,51,8
opengrok,org.opengrok.web.api.v1.filter.LocalhostFilter,false,false,false,false,false,true,false,false,1620,0,0,-2.0,0,0.0,18,0,2,2,2
opengrok,org.opengrok.web.api.v1.suggester.provider.filter.AuthorizationFilter,false,false,false,false,false,false,false,false,74,0,0,1.0,0,0.0,9,7,4,8,1
opengrok,org.opengrok.web.api.v1.suggester.provider.filter.SuggestionsEnabledFilter,false,false,false,false,false,false,false,false,47,0,0,1.0,0,0.0,5,5,2,6,1
opengrok,org.opengrok.web.api.v1.suggester.provider.ParseExceptionMapper,false,false,false,false,false,false,false,false,43,0,0,1.0,0,1.0,5,1,2,2,1
opengrok,org.opengrok.web.api.v1.suggester.provider.service.SuggesterServiceFactory,false,false,false,false,false,false,false,false,36,0,0,-2.0,0,0.0,1,1,3,3,2
opengrok,org.opengrok.web.api.v1.suggester.provider.service.SuggesterService,false,false,false,false,false,false,false,false,95,0,0,-0.3333333333333333,0,0.0,8,0,18,8,8
opengrok,org.opengrok.web.api.v1.suggester.provider.service.impl.SuggesterServiceImpl,false,false,false,false,false,true,false,false,382,2,3,0.23529411764705882,3,1.5,43,77,47,95,18
opengrok,org.opengrok.web.api.v1.suggester.query.SuggesterQueryBuilder,false,false,false,false,false,false,false,false,76,1,0,0.5,0,0.0,5,5,14,10,5
opengrok,org.opengrok.web.api.v1.suggester.query.SuggesterQueryParser,false,false,false,false,false,true,false,false,358,3,0,0.24836601307189543,0,0.5333333333333333,28,57,62,76,19
opengrok,org.opengrok.web.api.v1.suggester.SuggesterAppBinder,false,false,false,false,false,false,false,false,39,0,0,1.0,0,0.0,3,3,1,4,1
opengrok,org.opengrok.web.api.v1.suggester.parser.SuggesterQueryDataParser,false,false,false,false,false,true,false,true,138,3,0,-0.3333333333333333,0,0.6666666666666666,13,34,14,38,4
opengrok,org.opengrok.web.api.v1.suggester.model.SuggesterData,false,false,false,false,false,false,false,false,79,1,0,0.0,0,0.0,3,0,13,6,6
opengrok,org.opengrok.web.api.v1.suggester.model.SuggesterQueryData,false,false,false,false,false,false,false,false,142,2,0,-0.058823529411764705,0,0.0,7,0,27,18,18
opengrok,org.opengrok.web.api.v1.RestApp,false,false,false,false,false,false,false,false,41,1,0,1.0,0,0.0,3,2,1,3,1
opengrok,org.opengrok.web.api.v1.controller.SystemController,false,false,false,false,false,true,false,false,67,1,1,1.0,1,1.0,11,8,4,11,3
opengrok,org.opengrok.web.api.v1.controller.SearchController,false,false,false,false,false,true,false,false,226,0,0,1.0,0,0.0,22,0,1,1,1
opengrok,org.opengrok.web.api.v1.controller.MessagesController,false,false,false,false,false,true,false,false,74,0,1,1.0,1,1.0,16,7,9,10,3
opengrok,org.opengrok.web.api.v1.controller.SuggesterController,false,false,false,false,false,true,false,true,398,1,0,0.09523809523809523,0,0.5454545454545454,45,44,27,52,8
opengrok,org.opengrok.web.api.v1.controller.ProjectsController,false,false,false,false,false,true,false,true,324,3,1,0.19444444444444445,1,0.6,38,43,29,53,10
opengrok,org.opengrok.web.api.v1.controller.StatsController,false,false,false,false,false,true,false,false,62,1,0,-1.0,0,0.0,12,5,5,8,3
opengrok,org.opengrok.web.api.v1.controller.ConfigurationController,false,false,false,false,false,true,false,false,95,2,2,1.0,2,0.0,16,9,11,14,5
opengrok,org.opengrok.web.api.v1.controller.RepositoriesController,false,false,false,false,false,false,false,false,51,0,0,1.0,0,1.0,7,4,4,5,1
opengrok,org.opengrok.web.api.v1.controller.SuggesterControllerProjectsDisabledTest,false,false,false,false,false,true,false,true,124,2,0,-0.4,0,0.0,28,18,12,24,6
opengrok,org.opengrok.web.api.v1.controller.StatsControllerTest,false,false,false,false,false,true,false,true,112,2,0,-0.16666666666666666,3,0.0,13,36,7,41,5
opengrok,org.opengrok.web.api.v1.controller.MessagesControllerTest,false,false,false,false,false,true,false,true,253,13,1,0.16911764705882354,8,0.56,24,102,29,120,18
opengrok,org.opengrok.web.api.v1.controller.RepositoriesControllerTest,false,false,false,false,false,true,false,false,129,1,1,0.3333333333333333,1,1.0,21,26,11,31,5
