group,metrics,mean_rank,min_rank,max_rank
1,LOC_prod,1.0,1,1
2,isAssertionRoulette,2.0,2,2
3,LCC_prod,3.0,3,3
4,LCOM4_prod,4.0,4,4
4,McCABE_prod,4.0,4,4
5,RFC_prod,5.0,5,5
6,LCOM3_prod,6.0,6,6
7,WMC_prod,7.0,7,7
7,HALSTEAD_prod,7.0,7,7
7,MPC_prod,7.0,7,7
7,LCOM1_prod,7.0,7,7
8,McCABE_test,8.0,8,8
8,CBO_prod,8.0,8,8
9,RFC_test,9.0,9,9
9,TCC_prod,9.0,9,9
10,LCC_test,10.0,10,10
10,CONNECTIVITY_prod,10.0,10,10
10,LCOM5_prod,10.0,10,10
10,MPC_test,10.0,10,10
11,IFC_test,11.0,11,11
11,WMC_test,11.0,11,11
12,CONNECTIVITY_test,12.0,12,12
13,LCOM2_test,13.0,13,13
13,LCOM1_test,13.0,13,13
14,LOC_test,14.0,14,14
14,COH_prod,14.0,14,14
14,LCOM2_prod,14.0,14,14
15,HALSTEAD_test,15.0,15,15
15,prod_readability,15.0,15,15
16,BUSWEIMER_prod,16.0,16,16
16,CBO_test,16.0,16,16
17,ICH_prod,17.0,17,17
17,NOPA_prod,17.0,17,17
18,IFC_prod,18.0,18,18
18,csm_MC,18.0,18,18
18,NOP_prod,18.0,18,18
19,DAC2_prod,19.0,19,19
19,csm_FE,19.0,19,19
19,DAC_prod,19.0,19,19
19,NOA_prod,19.0,19,19
19,LCOM4_test,19.0,19,19
20,BUSWEIMER_test,20.0,20,20
21,isEagerTest,21.0,21,21
22,NOA_test,22.0,22,22
22,COH_test,22.0,22,22
22,LCOM3_test,22.0,22,22
22,DAC2_test,22.0,22,22
23,DAC_test,23.0,23,23
23,NOP_test,23.0,23,23
24,ICH_test,24.0,24,24
24,csm_SC,24.0,24,24
24,LCOM5_test,24.0,24,24
24,csm_Blob,24.0,24,24
25,isMysteryGuest,25.0,25,25
26,isSensitiveEquality,26.0,26,26
27,TCC_test,27.0,27,27
28,isIndirectTesting,28.0,28,28
29,isForTestersOnly,29.0,29,29
29,csm_LM,29.0,29,29
30,isResourceOptimism,30.0,30,30
31,csm_CC,31.0,31,31
32,NOPA_test,32.0,32,32
